,Player,Team,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
67,Tim Hardaway,DAL,"$18,150,000","$18,975,000",,,,,Cap space,"$18,150,000"
68,Myles Turner,IND,"$18,000,000","$18,000,000","$18,000,000","$18,000,000",,,1st Round pick,"$72,000,000"
69,Julius Randle,NYK,"$18,000,000","$18,900,000","$19,800,000",,,,Cap Space,"$40,900,000"
70,Gary Harris,DEN,"$17,839,286","$19,160,714","$20,482,143",,,,1st Round Pick,"$57,482,143"
71,Allen Crabbe,MIN,"$17,818,456",,,,,,,"$17,818,456"
72,Derrick Favors,NOP,"$17,650,000",,,,,,Bird Rights,"$17,650,000"
73,Reggie Jackson,DET,"$17,286,956",,,,,,,"$17,286,956"
74,Andre Iguodala,MIA,"$17,185,185","$15,000,000","$15,000,000",,,,Bird Rights,"$32,185,185"
75,Bojan BogdanoviÄ‡,UTA,"$17,000,000","$17,850,000","$18,700,000","$19,550,000",,,Cap Space,"$73,100,000"
76,Evan Fournier,ORL,"$17,000,000","$17,000,000",,,,,Cap Space,"$17,000,000"
77,Bismack Biyombo,CHO,"$17,000,000",,,,,,Cap Space,"$17,000,000"
78,Clint Capela,ATL,"$16,456,522","$17,500,000","$18,543,478","$19,586,957",,,Bird Rights,"$72,086,957"
79,Gorgui Dieng,MEM,"$16,229,213","$17,287,640",,,,,1st Round Pick,"$33,516,853"
80,Ricky Rubio,PHO,"$16,190,476","$17,000,000","$17,809,524",,,,Cap Space,"$51,000,000"
81,Jonas ValanÄçiÅ«nas,MEM,"$16,000,000","$15,000,000","$14,000,000",,,,Bird Rights,"$45,000,000"
82,Brandon Knight,DET,"$15,643,750",,,,,,Bird Rights,"$15,643,750"
83,Eric Bledsoe,MIL,"$15,625,000","$16,875,000","$18,125,000","$19,375,000",,,Bird Rights,"$54,525,000"
84,Kelly Oubre,PHO,"$15,625,000","$14,375,000",,,,,Bird Rights,"$30,000,000"
85,Dennis SchrÃ¶der,OKC,"$15,500,000","$15,500,000",,,,,1st Round Pick,"$31,000,000"
86,,,,,,,,,,
87,,,,,,,,,,
88,Ian Mahinmi,WAS,"$15,450,051",,,,,,Cap Space,"$15,450,051"
89,James Johnson,MIN,"$15,349,400","$16,047,100",,,,,Cap space,"$15,349,400"
90,Marvin Williams,CHO,"$15,006,250",,,,,,,"$15,006,250"
91,Bobby Portis,NYK,"$15,000,000","$15,750,000",,,,,Cap Space,"$15,000,000"
92,Marcus Morris,LAC,"$15,000,000",,,,,,Cap Space,"$15,000,000"
93,Danny Green,LAL,"$14,634,146","$15,365,854",,,,,Cap Space,"$30,000,000"
94,Cody Zeller,CHO,"$14,471,910","$15,415,730",,,,,1st Round Pick,"$29,887,640"
95,Eric Gordon,HOU,"$14,057,730","$16,869,276","$18,218,818","$19,568,360","$20,917,902",,Cap Space,"$68,714,184"
96,Mason Plumlee,DEN,"$14,041,096",,,,,,Cap space,"$14,041,096"
97,Rudy Gay,SAS,"$14,000,000","$14,000,000",,,,,Early Bird Rights,"$28,000,000"
98,J.J. Redick,NOP,"$13,486,300","$13,013,700",,,,,Cap Space,"$26,500,000"
99,Jordan Clarkson,UTA,"$13,437,500",,,,,,Cap Space,"$13,437,500"
100,Dewayne Dedmon,ATL,"$13,333,334","$13,333,333","$13,333,333",,,,Cap space,"$40,000,000"
101,Solomon Hill,MIA,"$13,258,781",,,,,,Cap Space,"$13,258,781"
102,Justise Winslow,MEM,"$13,000,000","$13,000,000","$13,000,000",,,,1st Round Pick,"$26,000,000"
103,Michael Kidd-Gilchrist,CHO,"$13,000,000",,,,,,,"$13,000,000"
104,Will Barton,DEN,"$12,960,000","$13,920,000","$14,880,000",,,,Bird Rights,"$26,880,000"
105,Thaddeus Young,CHI,"$12,900,000","$13,545,000","$14,190,000",,,,Cap space,"$32,445,000"
106,Courtney Lee,DAL,"$12,759,670",,,,,,Cap Space,"$12,759,670"
107,Larry Nance,CLE,"$12,727,273","$11,709,091","$10,690,909","$9,672,727",,,1st Round pick,"$44,800,000"
108,,,,,,,,,,
109,,,,,,,,,,
110,Marcus Smart,BOS,"$12,553,471","$13,446,428","$14,339,285",,,,Bird Rights,"$40,339,184"
111,Terrence Ross,ORL,"$12,500,000","$13,500,000","$12,500,000","$11,500,000",,,Bird Rights,"$50,000,000"
112,Miles Plumlee,MEM,"$12,500,000",,,,,,,"$12,500,000"
113,Patty Mills,SAS,"$12,428,571","$13,285,714",,,,,Bird Rights,"$25,714,285"
114,Patrick Beverley,LAC,"$12,345,679","$13,333,333","$14,320,988",,,,Bird Rights,"$40,000,000"
115,Trevor Ariza,POR,"$12,200,000","$12,800,000",,,,,Cap Space,"$14,000,000"
116,Dion Waiters,MEM,"$12,100,000","$12,650,000",,,,,,"$24,750,000"
117,Brook Lopez,MIL,"$12,093,024","$12,697,675","$13,302,325","$13,906,976",,,Cap Space,"$52,000,000"
118,Jusuf NurkiÄ‡,POR,"$12,000,000","$12,000,000","$12,000,000",,,,Bird Rights,"$28,000,000"
119,Cory Joseph,SAC,"$12,000,000","$12,600,000","$12,600,000",,,,Cap Space,"$24,600,000"
120,Joe Ingles,UTA,"$11,954,546","$10,863,637","$14,000,000",,,,Bird Rights,"$36,818,183"
121,Kelly Olynyk,MIA,"$11,667,885","$12,198,243",,,,,Cap space,"$11,667,885"
122,Maurice Harkless,NYK,"$11,511,234",,,,,,Cap Space,"$11,511,234"
123,Tony Snell,DET,"$11,392,857","$12,178,571",,,,,Cap space,"$11,392,857"
124,Robert Covington,HOU,"$11,301,219","$12,138,345","$12,975,471",,,,Cap Space,"$36,415,035"
125,Meyers Leonard,MIA,"$11,286,515",,,,,,Cap Space,"$11,286,515"
126,T.J. Warren,IND,"$10,810,000","$11,750,000","$12,690,000",,,,1st Round Pick,"$35,250,000"
127,Andre Roberson,OKC,"$10,740,741",,,,,,Bird Rights,"$10,740,741"
128,Spencer Dinwiddie,BRK,"$10,600,000","$11,400,000","$12,300,000",,,,Minimum Salary,"$22,000,000"
129,Jeremy Lamb,IND,"$10,500,000","$10,500,000","$10,500,000",,,,Cap Space,"$31,500,000"
130,,,,,,,,,,
131,,,,,,,,,,
132,Dwight Powell,DAL,"$10,259,375","$10,185,185","$11,000,000","$11,814,815",,,Cap Space,"$43,259,375"
133,Norman Powell,TOR,"$10,116,576","$10,865,952","$11,615,328",,,,Cap Space,"$20,982,528"
134,Josh Richardson,PHI,"$10,100,000","$10,800,000","$11,600,000",,,,Minimum Salary,"$20,900,000"
135,TomÃ¡Å¡ SatoranskÃ_,CHI,"$10,000,000","$10,000,000","$10,000,000",,,,Sign and Trade,"$25,000,000"
136,DeAndre Jordan,BRK,"$9,881,598","$10,375,678","$9,881,598","$9,821,842",,,Cap space,"$39,960,716"
137,Taj Gibson,NYK,"$9,800,000","$10,290,000",,,,,Cap Space,"$9,800,000"
138,Zion Williamson,NOP,"$9,757,440","$10,245,480","$10,733,400","$13,534,817",,,1st Round Pick,"$20,002,920"
139,Markelle Fultz,ORL,"$9,745,200","$12,288,697",,,,,1st Round Pick,"$22,033,897"
140,John Henson,DET,"$9,732,396",,,,,,1st Round Pick,"$9,732,396"
141,Matthew Dellavedova,CLE,"$9,607,500",,,,,,Cap Space,"$9,607,500"
142,Dante Exum,CLE,"$9,600,000","$9,600,000",,,,,Cap Space,"$18,200,000"
143,Deandre Ayton,PHO,"$9,562,920","$10,018,200","$12,632,950",,,,1st Round Pick,"$19,581,120"
144,Delon Wright,DAL,"$9,473,684","$9,000,000","$8,526,316",,,,Sign and Trade,"$27,000,000"
145,Jerami Grant,DEN,"$9,346,153","$9,346,153",,,,,Bird Rights,"$9,346,153"
146,Al-Farouq Aminu,ORL,"$9,258,000","$9,720,900","$10,183,800",,,,MLE,"$29,162,700"
147,George Hill,MIL,"$9,133,907","$9,590,602","$10,047,297",,,,Cap Space,"$21,000,000"
148,Kyle Anderson,MEM,"$9,073,050","$9,505,100","$9,937,150",,,,MLE,"$28,515,300"
149,Fred VanVleet,TOR,"$9,000,000",,,,,,Bird Rights,"$9,000,000"
150,Ja Morant,MEM,"$8,730,240","$9,166,800","$9,603,360","$12,119,440",,,1st Round Pick,"$17,897,040"
151,C.J. Miles,WAS,"$8,730,158",,,,,,,"$8,730,158"
152,,,,,,,,,,
153,,,,,,,,,,
154,Lonzo Ball,NOP,"$8,719,320","$11,003,782",,,,,1st Round Pick,"$19,723,102"
155,E'Twaun Moore,NOP,"$8,664,928",,,,,,Cap Space,"$8,664,928"
156,Marvin Bagley,SAC,"$8,556,120","$8,963,640","$11,312,114",,,,1st Round Pick,"$17,519,760"
157,Bogdan BogdanoviÄ‡,SAC,"$8,529,386",,,,,,Cap space,"$8,529,386"
158,Tyus Jones,MEM,"$8,408,000","$7,965,100","$7,522,200",,,,MLE,"$23,895,300"
159,P.J. Tucker,HOU,"$8,349,039","$7,969,537",,,,,MLE,"$16,318,576"
160,Cristiano FelÃ_cio,CHI,"$8,156,500","$7,529,020",,,,,Cap space,"$15,685,520"
161,Ben Simmons,PHI,"$8,113,930","$29,250,000","$31,590,000","$33,930,000","$36,270,000","$38,610,000",1st Round pick,"$177,763,930"
162,Kentavious Caldwell-Pope,LAL,"$8,089,282","$8,493,746",,,,,Cap Space,"$8,089,282"
163,Maxi Kleber,DAL,"$8,000,000","$8,250,000","$8,750,000","$9,000,000",,,Early Bird Rights,"$25,000,000"
164,Lou Williams,LAC,"$8,000,000","$8,000,000",,,,,Cap Space,"$16,000,000"
165,Elfrid Payton,NYK,"$8,000,000","$8,000,000",,,,,Cap Space,"$9,000,000"
166,Thomas Bryant,WAS,"$7,936,508","$8,333,333","$8,730,159",,,,Early Bird Rights,"$25,000,000"
167,RJ Barrett,NYK,"$7,839,960","$8,231,760","$8,623,920","$10,900,635",,,1st Round Pick,"$16,071,720"
168,Jayson Tatum,BOS,"$7,830,000","$9,897,120",,,,,1st Round Pick,"$17,727,120"
169,Jae Crowder,MIA,"$7,815,533",,,,,,Bird Rights,"$7,815,533"
170,Wayne Ellington,NYK,"$7,804,878","$8,195,122",,,,,Cap Space,"$7,804,878"
171,Luka DonÄçiÄ‡,DAL,"$7,683,360","$8,049,360","$10,174,391",,,,1st Round Pick,"$15,732,720"
172,Joe Harris,BRK,"$7,670,000",,,,,,Early Bird Rights,"$7,670,000"
173,Seth Curry,DAL,"$7,441,860","$7,813,953","$8,186,047","$8,558,140",,,MLE,"$32,000,000"
174,,,,,,,,,,
175,,,,,,,,,,
176,Doug McDermott,IND,"$7,333,334","$7,333,333",,,,,Cap Space,"$14,666,667"
177,Langston Galloway,DET,"$7,333,333",,,,,,MLE,"$7,333,333"
178,Derrick Rose,DET,"$7,317,073","$7,682,927",,,,,MLE,"$15,000,000"
179,Brandon Ingram,NOP,"$7,265,485",,,,,,1st Round pick,"$7,265,485"
180,D.J. Augustin,ORL,"$7,250,000",,,,,,Cap Space,"$7,250,000"
181,Darius Miller,NOP,"$7,250,000","$7,000,000",,,,,Early Bird Rights,"$7,250,000"
182,De'Andre Hunter,ATL,"$7,068,360","$7,422,000","$7,775,400","$9,835,881",,,1st Round Pick,"$14,490,360"
183,Josh Jackson,MEM,"$7,059,480",,,,,,1st Round Pick,"$7,059,480"
184,DÄÅvis BertÄÅns,WAS,"$7,000,000",,,,,,Early Bird Rights,"$7,000,000"
185,Ersan Ä°lyasova,MIL,"$7,000,000","$7,000,000",,,,,MLE,"$7,000,000"
186,Jaren Jackson,MEM,"$6,927,480","$7,257,360","$9,180,560",,,,1st Round Pick,"$14,184,840"
187,DeMarre Carroll,SAS,"$6,842,307","$6,167,887","$1,252,127",,,,,"$14,262,321"
188,Nemanja Bjelica,SAC,"$6,825,000","$7,150,000",,,,,Cap Space,"$6,825,000"
189,Jaylen Brown,BOS,"$6,534,829","$22,991,071","$24,830,357","$26,669,643","$28,508,929",,1st Round pick,"$109,534,829"
190,Jabari Parker,SAC,"$6,500,000","$6,500,000",,,,,Cap Space,"$6,500,000"
191,Ivica Zubac,LAC,"$6,481,482","$7,000,000","$7,518,518","$7,518,518",,,Bird Rights,"$21,000,000"
192,Joakim Noah,NYK,"$6,431,666","$6,431,666","$6,431,666",,,,,"$19,294,998"
193,Darius Garland,CLE,"$6,400,920","$6,720,720","$7,040,880","$8,920,795",,,1st Round Pick,"$13,121,640"
194,De'Aaron Fox,SAC,"$6,392,760","$8,099,627",,,,,1st Round Pick,"$14,492,387"
195,Trae Young,ATL,"$6,273,000","$6,571,800","$8,326,471",,,,1st Round Pick,"$12,844,800"
196,,,,,,,,,,
197,,,,,,,,,,
198,Montrezl Harrell,LAC,"$6,000,000",,,,,,Bird Rights,"$6,000,000"
199,Ish Smith,WAS,"$5,853,659","$6,146,341",,,,,MLE,"$12,000,000"
200,Marco Belinelli,SAS,"$5,846,154",,,,,,MLE,"$5,846,154"
201,Jarrett Culver,MIN,"$5,813,640","$6,104,280","$6,395,160","$8,109,063",,,1st Round Pick,"$11,917,920"
202,Jonathan Isaac,ORL,"$5,806,440","$7,362,566",,,,,1st Round Pick,"$13,169,006"
203,Rodney Hood,POR,"$5,718,000","$6,003,900",,,,,MLE,"$5,718,000"
204,Mo Bamba,ORL,"$5,697,600","$5,969,040","$7,568,742",,,,1st Round Pick,"$11,666,640"
205,Timofey Mozgov,ORL,"$5,573,333","$5,573,333","$5,573,334",,,,,"$16,720,000"
206,Trey Lyles,SAS,"$5,500,000","$5,500,000",,,,,MLE,"$5,500,000"
207,Deron Williams,BRK,"$5,474,787",,,,,,,"$5,474,787"
208,Aron Baynes,PHO,"$5,453,280",,,,,,Non-Bird Exception,"$5,453,280"
209,Kris Dunn,CHI,"$5,348,007",,,,,,1st Round pick,"$5,348,007"
210,Josh Smith,DET,"$5,331,729",,,,,,,"$5,331,729"
211,Coby White,CHI,"$5,307,120","$5,572,680","$5,837,760","$7,413,955",,,1st Round Pick,"$10,879,800"
212,Lauri Markkanen,CHI,"$5,300,400","$6,731,508",,,,,1st Round Pick,"$12,031,908"
213,Ryan Anderson,MIA,"$5,214,583","$5,214,583","$5,214,584",,,,,"$15,643,750"
214,Wendell Carter,CHI,"$5,201,400","$5,448,840","$6,920,027",,,,1st Round Pick,"$10,650,240"
215,Pau Gasol,SAS,"$5,100,000",,,,,,,"$5,100,000"
216,Daniel Theis,BOS,"$5,000,000","$5,000,000",,,,,Early Bird Rights,"$5,000,000"
217,Luol Deng,LAL,"$4,990,000","$4,990,000","$4,990,000",,,,,"$14,970,000"
218,,,,,,,,,,
219,,,,,,,,,,
220,Jaxson Hayes,NOP,"$4,862,040","$5,105,160","$5,348,280","$6,803,012",,,1st Round Pick,"$9,967,200"
221,Buddy Hield,SAC,"$4,861,208","$24,431,818","$22,477,273","$20,522,727","$18,568,182",,1st Round pick,"$90,861,208"
222,Frank Ntilikina,NYK,"$4,855,800","$6,176,578",,,,,1st Round Pick,"$11,032,378"
223,Ed Davis,UTA,"$4,767,000","$5,005,350",,,,,Room Exception,"$9,772,350"
224,Richaun Holmes,SAC,"$4,767,000","$5,005,350",,,,,Room Exception,"$9,772,350"
225,Frank Kaminsky,PHO,"$4,767,000","$5,005,350",,,,,Room Exception,"$9,772,350"
226,Mike Scott,PHI,"$4,767,000","$5,005,350",,,,,Room Exception,"$9,772,350"
227,Avery Bradley,LAL,"$4,767,000","$5,005,350",,,,,Room Exception,"$9,772,350"
228,Robin Lopez,MIL,"$4,767,000","$5,005,350",,,,,Room Exception,"$4,767,000"
229,JaMychal Green,LAC,"$4,767,000","$5,005,350",,,,,Room Exception,"$4,767,000"
230,Justin Holiday,IND,"$4,767,000",,,,,,Room Exception,"$4,767,000"
231,Garrett Temple,BRK,"$4,767,000","$5,005,350",,,,,Room Exception,"$4,767,000"
232,Enes Kanter,BOS,"$4,767,000","$5,005,350",,,,,Room Exception,"$4,767,000"
233,Collin Sexton,CLE,"$4,764,960","$4,991,880","$6,349,671",,,,1st Round Pick,"$9,756,840"
234,Rodney McGruder,LAC,"$4,629,630","$5,000,000","$5,370,370",,,,Cap Space,"$15,000,000"
235,Rui Hachimura,WAS,"$4,469,160","$4,692,840","$4,916,160","$6,263,188",,,1st Round Pick,"$9,162,000"
236,Kevon Looney,GSW,"$4,464,286","$4,821,429","$5,178,572",,,,Bird Rights,"$9,285,715"
237,Dennis Smith,NYK,"$4,463,640","$5,686,677",,,,,1st Round Pick,"$10,150,317"
238,Jamal Murray,DEN,"$4,444,746","$29,250,000","$31,590,000","$33,930,000","$36,270,000","$38,610,000",1st Round pick,"$174,094,746"
239,Kevin Knox,NYK,"$4,380,120","$4,588,680","$5,845,978",,,,1st Round Pick,"$8,968,800"
240,,,,,,,,,,
241,,,,,,,,,,
242,Cam Reddish,ATL,"$4,245,720","$4,458,000","$4,670,160","$5,954,454",,,1st Round Pick,"$8,703,720"
243,Zach Collins,POR,"$4,240,200","$5,406,255",,,,,1st Round Pick,"$9,646,455"
244,Mikal Bridges,PHO,"$4,161,000","$4,359,000","$5,557,725",,,,1st Round Pick,"$8,520,000"
245,Alex Len,SAC,"$4,160,000",,,,,,Room Exception,"$4,160,000"
246,Cameron Johnson,PHO,"$4,033,440","$4,235,160","$4,437,000","$5,887,899",,,1st Round Pick,"$8,268,600"
247,Malik Monk,CHO,"$4,028,400","$5,345,687",,,,,1st Round Pick,"$9,374,087"
248,Dorian Finney-Smith,DAL,"$4,000,000","$4,000,000","$4,000,000",,,,Bird Rights,"$12,000,000"
249,JaVale McGee,LAL,"$4,000,000","$4,200,000",,,,,Cap Space,"$8,200,000"
250,Patrick McCaw,TOR,"$4,000,000","$4,000,000",,,,,MLE,"$8,000,000"
251,Reggie Bullock,NYK,"$4,000,000","$4,200,000",,,,,Room Exception,"$5,000,000"
252,Shai Gilgeous-Alexander,OKC,"$3,952,920","$4,141,320","$5,495,532",,,,1st Round Pick,"$8,094,240"
253,NicolÃ_ Melli,NOP,"$3,902,439","$4,097,561",,,,,Room Exception,"$8,000,000"
254,P.J. Washington,CHO,"$3,831,840","$4,023,600","$4,215,120","$5,808,435",,,1st Round Pick,"$7,855,440"
255,Luke Kennard,DET,"$3,827,160","$5,273,826",,,,,1st Round Pick,"$9,100,986"
256,Miles Bridges,CHO,"$3,755,400","$3,934,320","$5,421,493",,,,1st Round Pick,"$7,689,720"
257,Jakob PÃ¶ltl,SAS,"$3,754,886",,,,,,1st Round pick,"$3,754,886"
258,Tyler Herro,MIA,"$3,640,200","$3,822,240","$4,004,280","$5,722,116",,,1st Round Pick,"$7,462,440"
259,Donovan Mitchell,UTA,"$3,635,760","$5,195,501",,,,,1st Round Pick,"$8,831,261"
260,Stanley Johnson,TOR,"$3,623,000","$3,801,000",,,,,Bi-annual Exception,"$3,623,000"
261,Jake Layman,MIN,"$3,581,986","$3,761,085","$3,940,184",,,,Sign and Trade,"$11,283,255"
262,,,,,,,,,,
263,,,,,,,,,,
264,Thon Maker,DET,"$3,569,643",,,,,,1st Round pick,"$3,569,643"
265,Jerome Robinson,WAS,"$3,567,720","$3,737,520","$5,340,916",,,,1st Round Pick,"$7,305,240"
266,Allonzo Trier,NYK,"$3,551,100",,,,,,Bi-Annual Exception,"$3,551,100"
267,Danuel House,HOU,"$3,540,000","$3,717,000","$3,894,000",,,,MLE,"$11,151,000"
268,Domantas Sabonis,IND,"$3,529,555","$17,187,500","$18,562,500","$19,937,500","$21,312,500",,1st Round pick,"$80,529,555"
269,Mirza TeletoviÄ‡,MIL,"$3,500,000","$3,500,000",,,,,,"$7,000,000"
270,Boban MarjanoviÄ‡,DAL,"$3,500,000","$3,500,000",,,,,Bi-Annual Exception,"$7,000,000"
271,T.J. McConnell,IND,"$3,500,000","$3,500,000",,,,,Cap Space,"$4,500,000"
272,DeMarcus Cousins,LAL,"$3,500,000",,,,,,,"$3,500,000"
273,Taurean Waller-Prince,BRK,"$3,481,986","$13,942,308","$15,057,692",,,,1st Round pick,"$32,481,986"
274,Dario Å ariÄ‡,PHO,"$3,481,986",,,,,,1st Round pick,"$3,481,986"
275,Romeo Langford,BOS,"$3,458,400","$3,631,200","$3,804,360","$5,634,257",,,1st Round Pick,"$7,089,600"
276,Bam Adebayo,MIA,"$3,454,080","$5,115,492",,,,,1st Round Pick,"$8,569,572"
277,Kyle Korver,PHO,"$3,440,000",,,,,,,"$3,440,000"
278,Michael Porter,DEN,"$3,389,400","$3,550,800","$5,258,735",,,,1st Round Pick,"$6,940,200"
279,Denzel Valentine,CHI,"$3,377,569",,,,,,1st Round pick,"$3,377,569"
280,Juan HernangÃ_mez,MIN,"$3,321,030",,,,,,1st Round pick,"$3,321,030"
281,Sekou Doumbouya,DET,"$3,285,120","$3,449,400","$3,613,680","$5,539,771",,,1st Round Pick,"$6,734,520"
282,Justin Jackson,DAL,"$3,280,920","$5,029,650",,,,,1st Round Pick,"$8,310,570"
283,Troy Brown,WAS,"$3,219,480","$3,372,840","$5,170,564",,,,1st Round Pick,"$6,592,320"
284,,,,,,,,,,
285,,,,,,,,,,
